SPECIES_GROUP,SPECIES,GEAR,MONTH,VALUE,YEAR
DOGFISH,DOGFISH,LONGLINE,Jan-96,164531,1996
HERRING,BAIT HERRING,HERRING PURSE SEINE,Jan-96,230839,1996
HERRING,FOOD HERRING,HERRING PURSE SEINE,Jan-96,12503,1996
LINGCOD,LINGCOD,LONGLINE,Jan-96,25982,1996
OTHER FISH,OTHER FISH,LONGLINE,Jan-96,1340,1996
OTHER FISH,OTHER FISH,OTHER SEINE,Jan-96,108902,1996
OTHER GROUNDFISH,IDIOT,LONGLINE,Jan-96,360,1996
OTHER GROUNDFISH,SHARK,LONGLINE,Jan-96,171,1996
OTHER GROUNDFISH,UNSPECIFIED GROUNDFISH,LONGLINE,Jan-96,265,1996
PACIFIC COD,PACIFIC COD,LONGLINE,Jan-96,76,1996
PACIFIC OCEAN PERCH,PACIFIC OCEAN PERCH,LONGLINE,Jan-96,123,1996
ROCKFISH,GREENIES,LONGLINE,Jan-96,178,1996
ROCKFISH,OTHER ROCKFISH,LONGLINE,Jan-96,50932,1996
ROCKFISH,RED SNAPPER (YELLOWEYE),LONGLINE,Jan-96,26587,1996
ROCKFISH,REEDI (YELLOWMOUTH),LONGLINE,Jan-96,132,1996
SABLEFISH,SABLEFISH,LONGLINE,Jan-96,1273,1996
SABLEFISH,SABLEFISH,TRAP,Jan-96,358099,1996
SKATE,SKATE,LONGLINE,Jan-96,7018,1996
SOLE,BRILL SOLE,LONGLINE,Jan-96,10,1996
SOLE,ROCK SOLE,LONGLINE,Jan-96,191,1996
TURBOT,TURBOT,LONGLINE,Jan-96,1,1996
DOGFISH,DOGFISH,BOTTOM OTTER TRAWL,Feb-96,32997,1996
DOGFISH,DOGFISH,LONGLINE,Feb-96,277492,1996
DOGFISH,DOGFISH,MIDWATER TRAWL,Feb-96,2632,1996
FLOUNDER,FLOUNDER,BOTTOM OTTER TRAWL,Feb-96,1786,1996
HAKE,HAKE,BOTTOM OTTER TRAWL,Feb-96,366562,1996
HAKE,HAKE,MIDWATER TRAWL,Feb-96,1546464,1996
HERRING,BAIT HERRING,HERRING PURSE SEINE,Feb-96,145,1996
LINGCOD,LINGCOD,BOTTOM OTTER TRAWL,Feb-96,20662,1996
LINGCOD,LINGCOD,LONGLINE,Feb-96,30951,1996
LINGCOD,LINGCOD,MIDWATER TRAWL,Feb-96,320,1996
OTHER FISH,OTHER FISH,BOTTOM OTTER TRAWL,Feb-96,1513,1996
OTHER FISH,OTHER FISH,LONGLINE,Feb-96,2063,1996
OTHER GROUNDFISH,IDIOT,BOTTOM OTTER TRAWL,Feb-96,7298,1996
OTHER GROUNDFISH,IDIOT,LONGLINE,Feb-96,674,1996
OTHER GROUNDFISH,SHARK,LONGLINE,Feb-96,212,1996
OTHER GROUNDFISH,UNSPECIFIED GROUNDFISH,LONGLINE,Feb-96,235,1996
PACIFIC COD,PACIFIC COD,BOTTOM OTTER TRAWL,Feb-96,12778,1996
PACIFIC COD,PACIFIC COD,LONGLINE,Feb-96,112,1996
PACIFIC COD,PACIFIC COD,MIDWATER TRAWL,Feb-96,6,1996
PACIFIC OCEAN PERCH,PACIFIC OCEAN PERCH,BOTTOM OTTER TRAWL,Feb-96,99448,1996
PACIFIC OCEAN PERCH,PACIFIC OCEAN PERCH,LONGLINE,Feb-96,28,1996
PACIFIC OCEAN PERCH,PACIFIC OCEAN PERCH,MIDWATER TRAWL,Feb-96,270,1996
POLLOCK,POLLOCK,BOTTOM OTTER TRAWL,Feb-96,115101,1996
POLLOCK,POLLOCK,MIDWATER TRAWL,Feb-96,165010,1996
REDUCTION,REDUCTION,BOTTOM OTTER TRAWL,Feb-96,489,1996
ROCKFISH,GREENIES,BOTTOM OTTER TRAWL,Feb-96,58531,1996
ROCKFISH,OTHER ROCKFISH,BOTTOM OTTER TRAWL,Feb-96,149185,1996
ROCKFISH,RED SNAPPER (YELLOWEYE),BOTTOM OTTER TRAWL,Feb-96,167,1996
ROCKFISH,REEDI (YELLOWMOUTH),BOTTOM OTTER TRAWL,Feb-96,113016,1996
ROCKFISH,SILVER PERCH,BOTTOM OTTER TRAWL,Feb-96,59,1996
ROCKFISH,GREENIES,LONGLINE,Feb-96,411,1996
ROCKFISH,OTHER ROCKFISH,LONGLINE,Feb-96,85408,1996
ROCKFISH,RED SNAPPER (YELLOWEYE),LONGLINE,Feb-96,52004,1996
ROCKFISH,REEDI (YELLOWMOUTH),LONGLINE,Feb-96,24,1996
ROCKFISH,GREENIES,MIDWATER TRAWL,Feb-96,349163,1996
ROCKFISH,OTHER ROCKFISH,MIDWATER TRAWL,Feb-96,132858,1996
ROCKFISH,REEDI (YELLOWMOUTH),MIDWATER TRAWL,Feb-96,4824,1996
SABLEFISH,SABLEFISH,BOTTOM OTTER TRAWL,Feb-96,1023,1996
SABLEFISH,SABLEFISH,LONGLINE,Feb-96,536,1996
SABLEFISH,SABLEFISH,MIDWATER TRAWL,Feb-96,30,1996
SABLEFISH,SABLEFISH,TRAP,Feb-96,574847,1996
SKATE,SKATE,BOTTOM OTTER TRAWL,Feb-96,1329,1996
SKATE,SKATE,LONGLINE,Feb-96,33641,1996
SOLE,BRILL SOLE,BOTTOM OTTER TRAWL,Feb-96,26647,1996
SOLE,DOVER/SLIPPERY SOLE,BOTTOM OTTER TRAWL,Feb-96,12348,1996
SOLE,LEMON SOLE,BOTTOM OTTER TRAWL,Feb-96,4637,1996
SOLE,MIXED SOLE,BOTTOM OTTER TRAWL,Feb-96,387,1996
SOLE,REX/WITCHES SOLE,BOTTOM OTTER TRAWL,Feb-96,1195,1996
SOLE,ROCK SOLE,BOTTOM OTTER TRAWL,Feb-96,3677,1996
SOLE,BRILL SOLE,LONGLINE,Feb-96,20,1996
SOLE,ROCK SOLE,LONGLINE,Feb-96,220,1996
SOLE,LEMON SOLE,MIDWATER TRAWL,Feb-96,6,1996
STURGEON,STURGEON,BOTTOM OTTER TRAWL,Feb-96,37,1996
TURBOT,TURBOT,BOTTOM OTTER TRAWL,Feb-96,90346,1996
TURBOT,TURBOT,LONGLINE,Feb-96,29,1996
DOGFISH,DOGFISH,BOTTOM OTTER TRAWL,Mar-96,56277,1996
DOGFISH,DOGFISH,LONGLINE,Mar-96,265615,1996
DOGFISH,DOGFISH,MIDWATER TRAWL,Mar-96,13222,1996
EULACHON,EULACHON,SET NET,Mar-96,91,1996
FLOUNDER,FLOUNDER,BOTTOM OTTER TRAWL,Mar-96,3463,1996
FLOUNDER,FLOUNDER,MIDWATER TRAWL,Mar-96,62,1996
HAKE,HAKE,BOTTOM OTTER TRAWL,Mar-96,653532,1996
HAKE,HAKE,MIDWATER TRAWL,Mar-96,3616976,1996
HALIBUT,HALIBUT,LONGLINE,Mar-96,816135,1996
HERRING,ROE HERRING,HERRING DRIFT NET,Mar-96,9711513,1996
HERRING,BAIT HERRING,HERRING PURSE SEINE,Mar-96,227,1996
HERRING,ROE HERRING,HERRING PURSE SEINE,Mar-96,12025213,1996
HERRING,SPAWN ON KELP,OTHER GEAR,Mar-96,142069,1996
LINGCOD,LINGCOD,BOTTOM OTTER TRAWL,Mar-96,109522,1996
LINGCOD,LINGCOD,LONGLINE,Mar-96,45023,1996
LINGCOD,LINGCOD,MIDWATER TRAWL,Mar-96,546,1996
OTHER FISH,OTHER FISH,BOTTOM OTTER TRAWL,Mar-96,4110,1996
OTHER FISH,OTHER FISH,LONGLINE,Mar-96,779,1996
OTHER GROUNDFISH,IDIOT,BOTTOM OTTER TRAWL,Mar-96,21075,1996
OTHER GROUNDFISH,SHARK,BOTTOM OTTER TRAWL,Mar-96,338,1996
OTHER GROUNDFISH,UNSPECIFIED GROUNDFISH,BOTTOM OTTER TRAWL,Mar-96,219,1996
OTHER GROUNDFISH,IDIOT,LONGLINE,Mar-96,1999,1996
OTHER GROUNDFISH,SHARK,LONGLINE,Mar-96,97,1996
OTHER GROUNDFISH,UNSPECIFIED GROUNDFISH,LONGLINE,Mar-96,572,1996
PACIFIC COD,PACIFIC COD,BOTTOM OTTER TRAWL,Mar-96,35127,1996
PACIFIC COD,PACIFIC COD,MIDWATER TRAWL,Mar-96,86,1996
PACIFIC OCEAN PERCH,PACIFIC OCEAN PERCH,BOTTOM OTTER TRAWL,Mar-96,172169,1996
PACIFIC OCEAN PERCH,PACIFIC OCEAN PERCH,LONGLINE,Mar-96,163,1996
PACIFIC OCEAN PERCH,PACIFIC OCEAN PERCH,MIDWATER TRAWL,Mar-96,9,1996
POLLOCK,POLLOCK,BOTTOM OTTER TRAWL,Mar-96,300849,1996
POLLOCK,POLLOCK,MIDWATER TRAWL,Mar-96,131633,1996
REDUCTION,REDUCTION,BOTTOM OTTER TRAWL,Mar-96,123,1996
REDUCTION,REDUCTION,LONGLINE,Mar-96,5,1996
REDUCTION,REDUCTION,MIDWATER TRAWL,Mar-96,16,1996
ROCKFISH,GREENIES,BOTTOM OTTER TRAWL,Mar-96,196899,1996
ROCKFISH,OTHER ROCKFISH,BOTTOM OTTER TRAWL,Mar-96,381353,1996
ROCKFISH,RED SNAPPER (YELLOWEYE),BOTTOM OTTER TRAWL,Mar-96,1193,1996
ROCKFISH,REEDI (YELLOWMOUTH),BOTTOM OTTER TRAWL,Mar-96,290440,1996
ROCKFISH,SILVER PERCH,BOTTOM OTTER TRAWL,Mar-96,279,1996
