WEEK,GEAR,SPECIES,VALUE,WEEKSTART,DFOWEEKNUM,YEAR,MONTH,
011 JAN 01 - JAN 06,Troll,Chinook,887,1/1/2001,11,2001,1,
012 JAN 07 - JAN 13,Troll,Chinook,1144,1/7/2001,12,2001,1,
012 JAN 06 - JAN 12,Troll,Chinook,4069,1/6/2002,12,2002,1,
012 JAN 05 - JAN 11,Troll,Chinook,9277,1/5/2003,12,2003,1,
012 JAN 04 - JAN 10,Troll,Chinook,16246,1/4/2004,12,2004,1,
012 JAN 08 - JAN 14,Troll,Chinook,36330,1/8/2006,12,2006,1,
012 JAN 07 - JAN 13,Troll,Chinook,3759,1/7/2007,12,2007,1,
012 JAN 04 - JAN 10,Troll,Chinook,4573,1/4/2009,12,2009,1,
012 JAN 08 - JAN 14,Troll,Chinook,2054,1/8/2012,12,2012,1,
013 JAN 14 - JAN 20,Troll,Chinook,4573,1/14/2001,13,2001,1,
013 JAN 13 - JAN 19,Troll,Chinook,10748,1/13/2002,13,2002,1,
013 JAN 12 - JAN 18,Troll,Chinook,20193,1/12/2003,13,2003,1,
013 JAN 11 - JAN 17,Troll,Chinook,3268,1/11/2004,13,2004,1,
013 JAN 09 - JAN 15,Troll,Chinook,48102,1/9/2005,13,2005,1,
013 JAN 15 - JAN 21,Troll,Chinook,25933,1/15/2006,13,2006,1,
013 JAN 14 - JAN 20,Troll,Chinook,103866,1/14/2007,13,2007,1,
013 JAN 14 - JAN 19,Troll,Chinook,4078,1/14/2008,13,2008,1,
013 JAN 11 - JAN 17,Troll,Chinook,53053,1/11/2009,13,2009,1,
013 JAN 15 - JAN 21,Troll,Chinook,6378,1/15/2012,13,2012,1,
013 JAN 11 - JAN 17,Troll,Chum,9,1/11/2009,13,2009,1,
014 JAN 21 - JAN 27,Troll,Chinook,14231,1/21/2001,14,2001,1,
014 JAN 20 - JAN 26,Troll,Chinook,4577,1/20/2002,14,2002,1,
014 JAN 19 - JAN 25,Troll,Chinook,15542,1/19/2003,14,2003,1,
014 JAN 18 - JAN 24,Troll,Chinook,14325,1/18/2004,14,2004,1,
014 JAN 16 - JAN 22,Troll,Chinook,9480,1/16/2005,14,2005,1,
014 JAN 22 - JAN 28,Troll,Chinook,21892,1/22/2006,14,2006,1,
014 JAN 21 - JAN 27,Troll,Chinook,31128,1/21/2007,14,2007,1,
014 JAN 21 - JAN 26,Troll,Chinook,46927,1/21/2008,14,2008,1,
014 JAN 18 - JAN 24,Troll,Chinook,49009,1/18/2009,14,2009,1,
015 JAN 28 - FEB 03,Troll,Chinook,1105,1/28/2001,15,2001,1,
015 JAN 27 - FEB 02,Troll,Chinook,10184,1/27/2002,15,2002,1,
015 JAN 25 - MAR 31,Troll,Chinook,4310,1/25/2004,15,2004,1,
015 JAN 23 - JAN 29,Troll,Chinook,7659,1/23/2005,15,2005,1,
015 JAN 28 - FEB 03,Troll,Chinook,204949,1/28/2007,15,2007,1,
015 JAN 27 - FEB 02,Troll,Chinook,11895,1/27/2008,15,2008,1,
015 Jan 25 - Jan 31,Troll,Chinook,42257,1/25/2009,15,2009,1,
021 FEB 04 - FEB 10,Troll,Chinook,3097,2/4/2001,21,2001,2,
021 FEB 02 - FEB 08,Troll,Chinook,33794,2/2/2003,21,2003,2,
021 FEB 01 - FEB 07,Troll,Chinook,5073,2/1/2004,21,2004,2,
021 JAN 30 - FEB 05,Troll,Chinook,207,1/30/2005,21,2005,1,
021 FEB 05 - FEB 11,Troll,Chinook,41309,2/5/2006,21,2006,2,
021 FEB 04 - FEB 10,Troll,Chinook,42903,2/4/2007,21,2007,2,
021 FEB 03 - FEB 09,Troll,Chinook,12762,2/3/2008,21,2008,2,
021 FEB 01 - FEB 07,Troll,Chinook,24352,2/1/2009,21,2009,2,
021 FEB 05 - FEB 11,Troll,Chinook,9256,2/5/2012,21,2012,2,
022 FEB 11 - FEB 17,Troll,Chinook,5759,2/11/2001,22,2001,2,
022 FEB 09 - FEB 15,Troll,Chinook,1125,2/9/2003,22,2003,2,
022 FEB 08 - FEB 14,Troll,Chinook,20429,2/8/2004,22,2004,2,
022 FEB 06 - FEB 12,Troll,Chinook,74455,2/6/2005,22,2005,2,
022 FEB 12 - FEB 18,Troll,Chinook,32324,2/12/2006,22,2006,2,
022 FEB 11 - FEB 17,Troll,Chinook,8543,2/11/2007,22,2007,2,
022 FEB 10 - FEB 16,Troll,Chinook,2339,2/10/2008,22,2008,2,
022 FEB 08 - FEB 14,Troll,Chinook,9574,2/8/2009,22,2009,2,
022 FEB 12 - FEB 18,Troll,Chinook,18013,2/12/2012,22,2012,2,
023 FEB 18 - FEB 24,Troll,Chinook,2886,2/18/2001,23,2001,2,
023 FEB 16 - FEB 22,Troll,Chinook,2405,2/16/2003,23,2003,2,
023 FEB 15 - FEB 21,Troll,Chinook,9385,2/15/2004,23,2004,2,
023 FEB 13 - FEB 19,Troll,Chinook,13897,2/13/2005,23,2005,2,
023 FEB 19 - FEB 25,Troll,Chinook,112527,2/19/2006,23,2006,2,
023 FEB 18 - FEB 24,Troll,Chinook,7146,2/18/2007,23,2007,2,
023 FEB 17 - FEB 23,Troll,Chinook,22536,2/17/2008,23,2008,2,
023 FEB 15 - FEB 21,Troll,Chinook,27059,2/15/2009,23,2009,2,
023 FEB 19 - FEB 25,Troll,Chinook,8511,2/19/2012,23,2012,2,
024 FEB 24 - MAR 02,Troll,Chinook,591,2/24/2002,24,2002,2,
024 FEB 23 - MAR 01,Troll,Chinook,13208,2/23/2003,24,2003,2,
024 FEB 22 - FEB 28,Troll,Chinook,29726,2/22/2004,24,2004,2,
024 FEB 20 - FEB 26,Troll,Chinook,167120,2/20/2005,24,2005,2,
024 FEB 25 - MAR 03,Troll,Chinook,48900,2/25/2007,24,2007,2,
024 FEB 24 - MAR 01,Troll,Chinook,20217,2/24/2008,24,2008,2,
024 FEB 22 - FEB 28,Troll,Chinook,15591,2/22/2009,24,2009,2,
024 FEB 20 - FEB 26,Troll,Chinook,30858,2/20/2011,24,2011,2,
024 FEB 26 - MAR 03,Troll,Chinook,6015,2/26/2012,24,2012,2,
024 FEB 20 - FEB 26,Troll,Chum,5,2/20/2005,24,2005,2,
031 MAR 04 - MAR 10,Troll,Chinook,5005,3/4/2001,31,2001,3,
031 MAR 02 - MAR 08,Troll,Chinook,40080,3/2/2003,31,2003,3,
031 FEB 29 - MAR 06,Troll,Chinook,119405,2/29/2004,31,2004,2,
031 FEB 27 - MAR 05,Troll,Chinook,44046,2/27/2005,31,2005,2,
031 MAR 04 - MAR 10,Troll,Chinook,10446,3/4/2007,31,2007,3,
031 Mar 01 - Mar 07,Troll,Chinook,6877,3/1/2009,31,2009,3,
031 FEB 27 - MAR 05,Troll,Chinook,75099,2/27/2011,31,2011,2,
031 MAR 04 - MAR 10,Troll,Chinook,6370,3/4/2012,31,2012,3,
031 FEB 27 - MAR 05,Troll,Chum,6,2/27/2011,31,2011,2,
032 MAR 11 - MAR 17,Troll,Chinook,6956,3/11/2001,32,2001,3,
032 MAR 10 - MAR 16,Troll,Chinook,4085,3/10/2002,32,2002,3,
032 MAR 09 - MAR 15,Troll,Chinook,40695,3/9/2003,32,2003,3,
032 MAR 07 - MAR 13,Troll,Chinook,55650,3/7/2004,32,2004,3,
032 MAR 06 - MAR 12,Troll,Chinook,84747,3/6/2005,32,2005,3,
032 MAR 12 - MAR 18,Troll,Chinook,210312,3/12/2006,32,2006,3,
032 Mar 08 - Mar 14,Troll,Chinook,19445,3/8/2009,32,2009,3,
032 MAR 06 - MAR 12,Troll,Chinook,46952,3/6/2011,32,2011,3,
032 MAR 11 - MAR 17,Troll,Chinook,7448,3/11/2012,32,2012,3,
033 MAR 18 - MAR 24,Troll,Chinook,2583,3/18/2001,33,2001,3,
033 MAR 16 - MAR 22,Troll,Chinook,2157,3/16/2003,33,2003,3,
033 MAR 14 - MAR 20,Troll,Chinook,82972,3/14/2004,33,2004,3,
033 MAR 13 - MAR 19,Troll,Chinook,260760,3/13/2005,33,2005,3,
033 MAR 19 - MAR 25,Troll,Chinook,96025,3/19/2006,33,2006,3,
033 MAR 18 - MAR 24,Troll,Chinook,28967,3/18/2007,33,2007,3,
033 Mar 15 - Mar 21,Troll,Chinook,1113,3/15/2009,33,2009,3,
033 MAR 13 - MAR 19,Troll,Chinook,4034,3/13/2011,33,2011,3,
033 MAR 13 - MAR 19,Troll,Chum,10,3/13/2005,33,2005,3,
033 MAR 17 - MAR 23,Gillnet,Coho,26,3/17/1996,33,1996,3,
033 MAR 17 - MAR 23,Gillnet,Sockeye,590,3/17/1996,33,1996,3,
034 MAR 25 - MAR 31,Troll,Chinook,803,3/25/2001,34,2001,3,
034 MAR 24 - MAR 30,Troll,Chinook,1889,3/24/2002,34,2002,3,
034 MAR 23 - MAR 29,Troll,Chinook,8413,3/23/2003,34,2003,3,
034 MAR 21 - MAR 27,Troll,Chinook,222919,3/21/2004,34,2004,3,
034 MAR 20 - MAR 26,Troll,Chinook,237780,3/20/2005,34,2005,3,
034 MAR 26 - APR 01,Troll,Chinook,191139,3/26/2006,34,2006,3,
034 MAR 25 - MAR 31,Troll,Chinook,44707,3/25/2007,34,2007,3,
034 MAR 20 - MAR 26,Troll,Chum,11,3/20/2005,34,2005,3,
034 MAR 23 - MAR 29,Gillnet,Sockeye,4112,3/23/2003,34,2003,3,
041 MAR 31 - APR 06,Gillnet,Chinook,39,3/31/1996,41,1996,3,
041 MAR 30 - APR 05,Gillnet,Chinook,134,3/30/1997,41,1997,3,
041 MAR 28 - APR 03,Gillnet,Chinook,58,3/28/1999,41,1999,3,
041 Mar 29 - Apr 04,Gillnet,Chinook,60,3/29/2009,41,2009,3,
041 APR 01 - APR 07,Troll,Chinook,33291,4/1/2001,41,2001,4,
041 MAR 31 - APR 06,Troll,Chinook,832,3/31/2002,41,2002,3,
041 MAR 30 - APR 05,Troll,Chinook,6383,3/30/2003,41,2003,3,
041 MAR 28 - APR 03,Troll,Chinook,135846,3/28/2004,41,2004,3,
041 MAR 27 - APR 02,Troll,Chinook,117283,3/27/2005,41,2005,3,
041 APR 02 - APR 08,Troll,Chinook,132427,4/2/2006,41,2006,4,
041 APR 01 - APR 07,Troll,Chinook,10102,4/1/2007,41,2007,4,
041 MAR 28 - APR 03,Troll,Chum,8,3/28/2004,41,2004,3,
042 APR 07 - APR 13,Gillnet,Chinook,105,4/7/1996,42,1996,4,
042 APR 06 - APR 12,Gillnet,Chinook,481,4/6/1997,42,1997,4,
