YEAR,VALUE,WHAT
1910,0,Chinook
1911,0,Chinook
1912,0,Chinook
1913,0,Chinook
1914,0,Chinook
1915,0,Chinook
1916,0,Chinook
1917,0,Chinook
1918,0,Chinook
1919,0,Chinook
1920,0,Chinook
1921,0,Chinook
1922,0,Chinook
1923,0,Chinook
1924,0,Chinook
1925,0,Chinook
1926,0,Chinook
1927,0,Chinook
1928,0,Chinook
1929,0,Chinook
1930,0,Chinook
1931,0,Chinook
1932,0,Chinook
1933,0,Chinook
1934,0,Chinook
1935,0,Chinook
1936,0,Chinook
1937,0,Chinook
1938,0,Chinook
1939,0,Chinook
1940,0,Chinook
1941,0,Chinook
1942,0,Chinook
1943,0,Chinook
1944,0,Chinook
1945,0,Chinook
1946,0,Chinook
1947,0,Chinook
1948,0,Chinook
1949,0,Chinook
1950,0,Chinook
1951,5.8514,Chinook
1952,6.53633,Chinook
1953,7.10787,Chinook
1954,6.11902,Chinook
1955,5.68357,Chinook
1956,6.21428,Chinook
1957,5.738,Chinook
1958,6.44561,Chinook
1959,6.1281,Chinook
1960,4.68112,Chinook
1961,4.12456,Chinook
1962,4.11231,Chinook
1963,4.61081,Chinook
1964,6.06369,Chinook
1965,5.74662,Chinook
1966,6.95137,Chinook
1967,6.96498,Chinook
1968,6.91146,Chinook
1969,6.45196,Chinook
1970,6.56536,Chinook
1971,8.70181,Chinook
1972,8.35208,Chinook
1973,7.55647,Chinook
1974,7.63676,Chinook
1975,7.2893,Chinook
1976,7.77556,Chinook
1977,7.522,Chinook
1978,7.887,Chinook
1979,6.845,Chinook
1980,6.54,Chinook
1981,5.916,Chinook
1982,7.092,Chinook
1983,5.378,Chinook
1984,6.254,Chinook
1985,5.47,Chinook
1986,5.007,Chinook
1987,5.249,Chinook
1988,5.922,Chinook
1989,5.235,Chinook
1990,5.228,Chinook
1991,5.058,Chinook
1992,5.336,Chinook
1993,4.817,Chinook
1994,3.574,Chinook
1995,3.574,Chinook
1996,0.456071,Chinook
1997,1.6619,Chinook
1998,1.401454,Chinook
1999,0.767744,Chinook
2000,0.521095,Chinook
2001,0.666497,Chinook
2002,1.690649,Chinook
2003,2.199314,Chinook
2004,2.465494,Chinook
2005,2.019961,Chinook
2006,2.052293,Chinook
2007,1.425337,Chinook
2008,0.961755,Chinook
2009,0.938087,Chinook
2010,1.157943,Chinook
2011,1.524625,Chinook
2012,0.940842,Chinook
1910,0,Coho
1911,0,Coho
1912,0,Coho
1913,0,Coho
1914,0,Coho
1915,0,Coho
1916,0,Coho
1917,0,Coho
1918,0,Coho
1919,0,Coho
1920,0,Coho
1921,0,Coho
1922,0,Coho
1923,0,Coho
1924,0,Coho
1925,0,Coho
1926,0,Coho
1927,0,Coho
1928,0,Coho
1929,0,Coho
1930,0,Coho
1931,0,Coho
1932,0,Coho
1933,0,Coho
1934,0,Coho
1935,0,Coho
1936,0,Coho
1937,0,Coho
1938,0,Coho
1939,0,Coho
1940,0,Coho
1941,0,Coho
1942,0,Coho
1943,0,Coho
1944,0,Coho
1945,0,Coho
1946,0,Coho
1947,0,Coho
1948,0,Coho
1949,0,Coho
1950,0,Coho
1951,15.9666,Coho
1952,10.0653,Coho
1953,10.5053,Coho
1954,9.38492,Coho
1955,10.6822,Coho
1956,11.408,Coho
1957,10.3329,Coho
1958,11.2038,Coho
1959,8.87689,Coho
1960,6.45469,Coho
1961,11.217,Coho
1962,12.0702,Coho
1963,11.5581,Coho
1964,14.3591,Coho
1965,16.6375,Coho
1966,17.5456,Coho
1967,10.2141,Coho
1968,15.1415,Coho
1969,7.99147,Coho
1970,13.6492,Coho
1971,14.0924,Coho
1972,10.533,Coho
1973,11.2501,Coho
1974,10.3783,Coho
1975,7.73655,Coho
1976,9.32187,Coho
1977,9.85666,Coho
1978,9.152,Coho
1979,10.342,Coho
1980,9.025,Coho
1981,7.514,Coho
1982,9.297,Coho
1983,10.461,Coho
1984,10.089,Coho
1985,8.977,Coho
1986,13.238,Coho
1987,8.415,Coho
1988,7.077,Coho
1989,8.752,Coho
1990,10.569,Coho
1991,10.053,Coho
1992,7.328,Coho
1993,4.316,Coho
1994,7.713,Coho
1995,4.866,Coho
1996,3.877694,Coho
1997,0.751238,Coho
1998,0.024879,Coho
1999,0.026822,Coho
2000,0.033752,Coho
2001,0.053273,Coho
2002,0.470792,Coho
2003,0.807785,Coho
2004,1.187282,Coho
2005,1.136868,Coho
2006,0.557345,Coho
2007,0.817353,Coho
2008,0.379087,Coho
2009,0.761491,Coho
2010,0.597811,Coho
2011,1.133544,Coho
2012,0.693155,Coho
1910,0,Pink
1911,0,Pink
1912,0,Pink
1913,0,Pink
1914,0,Pink
1915,0,Pink
1916,0,Pink
1917,0,Pink
1918,0,Pink
1919,0,Pink
1920,0,Pink
1921,0,Pink
1922,0,Pink
1923,0,Pink
1924,0,Pink
1925,0,Pink
1926,0,Pink
1927,0,Pink
1928,0,Pink
1929,0,Pink
1930,0,Pink
1931,0,Pink
1932,0,Pink
1933,0,Pink
1934,0,Pink
1935,0,Pink
1936,0,Pink
1937,0,Pink
1938,0,Pink
1939,0,Pink
1940,0,Pink
1941,0,Pink
1942,0,Pink
1943,0,Pink
1944,0,Pink
1945,0,Pink
1946,0,Pink
1947,0,Pink
1948,0,Pink
1949,0,Pink
1950,0,Pink
1951,27.3065,Pink
1952,23.2605,Pink
1953,28.0051,Pink
1954,11.6847,Pink
1955,28.7127,Pink
1956,13.1407,Pink
1957,25.9866,Pink
1958,15.3815,Pink
1959,15.894,Pink
1960,7.70661,Pink
1961,22.7071,Pink
1962,42.4531,Pink
1963,27.4775,Pink
1964,16.6765,Pink
1965,10.4023,Pink
1966,33.3253,Pink
1967,23.4251,Pink
1968,25.22,Pink
1969,6.272,Pink
1970,24.022,Pink
1971,17.63,Pink
1972,18.141,Pink
1973,13.306,Pink
1974,11.207,Pink
1975,10.239,Pink
1976,17.056,Pink
1977,24.723,Pink
1978,15.331,Pink
1979,24.696,Pink
1980,13.718,Pink
1981,38.253,Pink
1982,3.977,Pink
1983,39.539,Pink
1984,12.058,Pink
1985,37.701,Pink
1986,29.505,Pink
1987,26.921,Pink
1988,32.217,Pink
1989,31.004,Pink
1990,26.24,Pink
1991,35.096,Pink
1992,14.913,Pink
1993,16.046,Pink
1994,3.383,Pink
1995,19.767,Pink
1996,8.620452,Pink
1997,12.242337,Pink
1998,3.921058,Pink
1999,9.536518,Pink
2000,7.220603,Pink
2001,10.97163,Pink
2002,8.609264,Pink
2003,15.455846,Pink
2004,3.578293,Pink
2005,12.638189,Pink
2006,1.431279,Pink
2007,11.203484,Pink
2008,0.353489,Pink
2009,13.439757,Pink
2010,1.272725,Pink
2011,9.117062,Pink
2012,1.231248,Pink
1910,0,Chum
1911,0,Chum
1912,0,Chum
1913,0,Chum
1914,0,Chum
1915,0,Chum
1916,0,Chum
1917,0,Chum
1918,0,Chum
1919,0,Chum
1920,0,Chum
1921,0,Chum
1922,0,Chum
1923,0,Chum
1924,0,Chum
1925,0,Chum
1926,0,Chum
1927,0,Chum
1928,0,Chum
1929,0,Chum
1930,0,Chum
1931,0,Chum
1932,0,Chum
1933,0,Chum
1934,0,Chum
1935,0,Chum
1936,0,Chum
1937,0,Chum
1938,0,Chum
1939,0,Chum
1940,0,Chum
1941,0,Chum
1942,0,Chum
1943,0,Chum
1944,0,Chum
1945,0,Chum
1946,0,Chum
1947,0,Chum
1948,0,Chum
1949,0,Chum
1950,0,Chum
1951,28.7993,Chum
1952,14.4561,Chum
1953,24.687,Chum
1954,33.7476,Chum
1955,8.24639,Chum
1956,12.4422,Chum
1957,12.3551,Chum
1958,17.2866,Chum
1959,10.4826,Chum
1960,9.21709,Chum
1961,6.62705,Chum
1962,8.18924,Chum
1963,6.99673,Chum
1964,10.8555,Chum
1965,3.01914,Chum
1966,6.96816,Chum
1967,5.50758,Chum
1968,16.5608,Chum
1969,6.077,Chum
1970,16.77,Chum
1971,5.419,Chum
1972,30.192,Chum
1973,32.762,Chum
1974,12.479,Chum
1975,5.389,Chum
1976,10.922,Chum
1977,6.032,Chum
1978,15.855,Chum
1979,4.751,Chum
1980,16.809,Chum
1981,6.157,Chum
1982,15.091,Chum
1983,4.899,Chum
1984,9.003,Chum
1985,23.646,Chum
1986,25.197,Chum
1987,11,Chum
1988,30.297,Chum
1989,9.322,Chum
1990,17.181,Chum
1991,10.236,Chum
1992,17.964,Chum
1993,17.274,Chum
1994,20.323,Chum
1995,12.115,Chum
1996,6.560264,Chum
1997,8.686141,Chum
1998,19.912954,Chum
1999,4.996532,Chum
2000,2.848225,Chum
2001,5.8499,Chum
2002,12.350826,Chum
2003,13.730787,Chum
2004,14.301897,Chum
2005,11.323051,Chum
2006,9.90462,Chum
2007,4.864421,Chum
2008,1.735465,Chum
2009,2.706924,Chum
2010,0.541728,Chum
2011,5.805227,Chum
2012,4.050286,Chum
1910,0,Sockeye
1911,0,Sockeye
1912,0,Sockeye
1913,0,Sockeye
1914,0,Sockeye
1915,0,Sockeye
1916,0,Sockeye
1917,0,Sockeye
1918,0,Sockeye
1919,0,Sockeye
1920,0,Sockeye
1921,0,Sockeye
1922,0,Sockeye
1923,0,Sockeye
1924,0,Sockeye
1925,0,Sockeye
1926,0,Sockeye
1927,0,Sockeye
1928,0,Sockeye
1929,0,Sockeye
1930,0,Sockeye
1931,0,Sockeye
1932,0,Sockeye
1933,0,Sockeye
1934,0,Sockeye
1935,0,Sockeye
1936,0,Sockeye
