WEEK,GEAR,SPECIES,WEIGHT,START,DFOWEEKNUM,YEAR,MONTH
011 JAN 01 - JAN 06,Troll,Chinook,146,1/1/2001,11,2001,1
012 JAN 07 - JAN 13,Troll,Chinook,188,1/7/2001,12,2001,1
012 JAN 06 - JAN 12,Troll,Chinook,641,1/6/2002,12,2002,1
012 JAN 05 - JAN 11,Troll,Chinook,1287,1/5/2003,12,2003,1
012 JAN 04 - JAN 10,Troll,Chinook,2191,1/4/2004,12,2004,1
012 JAN 08 - JAN 14,Troll,Chinook,3108,1/8/2006,12,2006,1
012 JAN 07 - JAN 13,Troll,Chinook,375,1/7/2007,12,2007,1
012 JAN 04 - JAN 10,Troll,Chinook,322,1/4/2009,12,2009,1
012 JAN 08 - JAN 14,Troll,Chinook,152,1/8/2012,12,2012,1
013 JAN 14 - JAN 20,Troll,Chinook,753,1/14/2001,13,2001,1
013 JAN 13 - JAN 19,Troll,Chinook,1734,1/13/2002,13,2002,1
013 JAN 12 - JAN 18,Troll,Chinook,2783,1/12/2003,13,2003,1
013 JAN 11 - JAN 17,Troll,Chinook,445,1/11/2004,13,2004,1
013 JAN 09 - JAN 15,Troll,Chinook,5316,1/9/2005,13,2005,1
013 JAN 15 - JAN 21,Troll,Chinook,2360,1/15/2006,13,2006,1
013 JAN 14 - JAN 20,Troll,Chinook,9359,1/14/2007,13,2007,1
013 JAN 14 - JAN 19,Troll,Chinook,426,1/14/2008,13,2008,1
013 JAN 11 - JAN 17,Troll,Chinook,3896,1/11/2009,13,2009,1
013 JAN 11 - JAN 17,Troll,Chum,5,1/11/2009,13,2009,1
013 JAN 15 - JAN 21,Troll,Chinook,479,1/15/2012,13,2012,1
014 JAN 21 - JAN 27,Troll,Chinook,2459,1/21/2001,14,2001,1
014 JAN 20 - JAN 26,Troll,Chinook,742,1/20/2002,14,2002,1
014 JAN 19 - JAN 25,Troll,Chinook,2128,1/19/2003,14,2003,1
014 JAN 18 - JAN 24,Troll,Chinook,1866,1/18/2004,14,2004,1
014 JAN 16 - JAN 22,Troll,Chinook,1088,1/16/2005,14,2005,1
014 JAN 22 - JAN 28,Troll,Chinook,2029,1/22/2006,14,2006,1
014 JAN 21 - JAN 27,Troll,Chinook,2834,1/21/2007,14,2007,1
014 JAN 21 - JAN 26,Troll,Chinook,4370,1/21/2008,14,2008,1
014 JAN 18 - JAN 24,Troll,Chinook,3480,1/18/2009,14,2009,1
015 JAN 28 - FEB 03,Troll,Chinook,182,1/28/2001,15,2001,1
015 JAN 27 - FEB 02,Troll,Chinook,1652,1/27/2002,15,2002,1
015 JAN 25 - MAR 31,Troll,Chinook,584,1/25/2004,15,2004,1
015 JAN 23 - JAN 29,Troll,Chinook,864,1/23/2005,15,2005,1
015 JAN 28 - FEB 03,Troll,Chinook,17657,1/28/2007,15,2007,1
015 JAN 27 - FEB 02,Troll,Chinook,1199,1/27/2008,15,2008,1
015 Jan 25 - Jan 31,Troll,Chinook,3026,1/25/2009,15,2009,1
021 FEB 04 - FEB 10,Troll,Chinook,510,2/4/2001,21,2001,2
021 FEB 02 - FEB 08,Troll,Chinook,4626,2/2/2003,21,2003,2
021 FEB 01 - FEB 07,Troll,Chinook,686,2/1/2004,21,2004,2
021 JAN 30 - FEB 05,Troll,Chinook,33,1/30/2005,21,2005,1
021 FEB 05 - FEB 11,Troll,Chinook,3638,2/5/2006,21,2006,2
021 FEB 04 - FEB 10,Troll,Chinook,3884,2/4/2007,21,2007,2
021 FEB 03 - FEB 09,Troll,Chinook,1205,2/3/2008,21,2008,2
021 FEB 01 - FEB 07,Troll,Chinook,1714,2/1/2009,21,2009,2
021 FEB 05 - FEB 11,Troll,Chinook,662,2/5/2012,21,2012,2
022 FEB 11 - FEB 17,Troll,Chinook,948,2/11/2001,22,2001,2
022 FEB 09 - FEB 15,Troll,Chinook,152,2/9/2003,22,2003,2
022 FEB 08 - FEB 14,Troll,Chinook,2466,2/8/2004,22,2004,2
022 FEB 06 - FEB 12,Troll,Chinook,8515,2/6/2005,22,2005,2
022 FEB 12 - FEB 18,Troll,Chinook,2909,2/12/2006,22,2006,2
022 FEB 11 - FEB 17,Troll,Chinook,744,2/11/2007,22,2007,2
022 FEB 10 - FEB 16,Troll,Chinook,222,2/10/2008,22,2008,2
022 FEB 08 - FEB 14,Troll,Chinook,653,2/8/2009,22,2009,2
022 FEB 12 - FEB 18,Troll,Chinook,1341,2/12/2012,22,2012,2
023 FEB 18 - FEB 24,Troll,Chinook,475,2/18/2001,23,2001,2
023 FEB 16 - FEB 22,Troll,Chinook,250,2/16/2003,23,2003,2
023 FEB 15 - FEB 21,Troll,Chinook,1096,2/15/2004,23,2004,2
023 FEB 13 - FEB 19,Troll,Chinook,1079,2/13/2005,23,2005,2
023 FEB 19 - FEB 25,Troll,Chinook,10537,2/19/2006,23,2006,2
023 FEB 18 - FEB 24,Troll,Chinook,639,2/18/2007,23,2007,2
023 FEB 17 - FEB 23,Troll,Chinook,2228,2/17/2008,23,2008,2
023 FEB 15 - FEB 21,Troll,Chinook,1883,2/15/2009,23,2009,2
023 FEB 19 - FEB 25,Troll,Chinook,605,2/19/2012,23,2012,2
024 FEB 24 - MAR 02,Troll,Chinook,96,2/24/2002,24,2002,2
024 FEB 23 - MAR 01,Troll,Chinook,1515,2/23/2003,24,2003,2
024 FEB 22 - FEB 28,Troll,Chinook,3422,2/22/2004,24,2004,2
024 FEB 20 - FEB 26,Troll,Chinook,16629,2/20/2005,24,2005,2
024 FEB 20 - FEB 26,Troll,Chum,3,2/20/2005,24,2005,2
024 FEB 25 - MAR 03,Troll,Chinook,4533,2/25/2007,24,2007,2
024 FEB 24 - MAR 01,Troll,Chinook,1961,2/24/2008,24,2008,2
024 FEB 22 - FEB 28,Troll,Chinook,1096,2/22/2009,24,2009,2
024 FEB 20 - FEB 26,Troll,Chinook,2550,2/20/2011,24,2011,2
024 FEB 26 - MAR 03,Troll,Chinook,426,2/26/2012,24,2012,2
031 MAR 04 - MAR 10,Troll,Chinook,797,3/4/2001,31,2001,3
031 MAR 02 - MAR 08,Troll,Chinook,5211,3/2/2003,31,2003,3
031 FEB 29 - MAR 06,Troll,Chinook,12748,2/29/2004,31,2004,2
031 FEB 27 - MAR 05,Troll,Chinook,4602,2/27/2005,31,2005,2
031 MAR 04 - MAR 10,Troll,Chinook,1016,3/4/2007,31,2007,3
031 Mar 01 - Mar 07,Troll,Chinook,470,3/1/2009,31,2009,3
031 FEB 27 - MAR 05,Troll,Chinook,5761,2/27/2011,31,2011,2
031 FEB 27 - MAR 05,Troll,Chum,5,2/27/2011,31,2011,2
031 MAR 04 - MAR 10,Troll,Chinook,438,3/4/2012,31,2012,3
032 MAR 11 - MAR 17,Troll,Chinook,1121,3/11/2001,32,2001,3
032 MAR 10 - MAR 16,Troll,Chinook,579,3/10/2002,32,2002,3
032 MAR 09 - MAR 15,Troll,Chinook,5048,3/9/2003,32,2003,3
032 MAR 07 - MAR 13,Troll,Chinook,5690,3/7/2004,32,2004,3
032 MAR 06 - MAR 12,Troll,Chinook,9077,3/6/2005,32,2005,3
032 MAR 12 - MAR 18,Troll,Chinook,16046,3/12/2006,32,2006,3
032 Mar 08 - Mar 14,Troll,Chinook,1357,3/8/2009,32,2009,3
032 MAR 06 - MAR 12,Troll,Chinook,3531,3/6/2011,32,2011,3
032 MAR 11 - MAR 17,Troll,Chinook,532,3/11/2012,32,2012,3
